#separator:Tab
#html:true
#deck:biohack::languages::es-en
#columns:ID	Spanish	English	SpanishExample	EnglishExample	Grammar	SortKey	Tags	Checksum
#tags column:8
biohack:es-en:0039	el alcalde	m. mayor	La oficina del alcalde está en el ayuntamiento.	The mayor's office is in the city hall.	masculine noun	alcalde	biohack es-en letter-a noun	d5cedd2b2b71
biohack:es-en:0040	la alcoba	f. bedroom	Buscamos un apartamiento con dos alcobas.	We're looking for an apartment with two bedrooms.	feminine noun	alcoba	biohack es-en letter-a noun	68fcdf919341
biohack:es-en:0041	la aldea	f. village	Sugiero que visiten algunas aldeas en las montañas.	I suggest that you visit some villages in the mountains.	feminine noun	aldea	biohack es-en letter-a noun	44d7af44c6cc
biohack:es-en:0042	alegrarse	to be glad	Me alegro de verlos otra vez.	I'm glad to see you again.	verb	alegrarse	biohack es-en letter-a verb	71a9bb6f924c
biohack:es-en:0043	alegre	glad, happy	Parece que está usted muy alegre hoy.	It seems that you are very happy today.		alegre	biohack es-en letter-a	cbc2bb0b4e8c
biohack:es-en:0044	algo	something, anything	¿Tiene usted algo que declarar?	Do you have something to declare?		algo	biohack es-en letter-a	d24893d689f3
biohack:es-en:0045	el algodón	m. cotton	Prefiero una blusa de algodón.	I prefer a cotton blouse.	masculine noun	algodon	biohack es-en letter-a noun	0b69c540b980
biohack:es-en:0046	alguien	someone, somebody	Creo que alguien llama a la puerta.	I think someone is knocking at the door.		alguien	biohack es-en letter-a	a47d46a038c3
biohack:es-en:0047	alguno	some, any	Algunos de ustedes ya me conocen.	Some of you already know me.		alguno	biohack es-en letter-a	b992f14cc01d
biohack:es-en:0048	el almacén	m. department store	Se puede comprar casi todo en los almacenes grandes.	You can buy almost everything in the big department stores.	masculine noun	almacen	biohack es-en letter-a noun	9603c53f23c7
biohack:es-en:0049	la almohada	f. pillow	¿Me pueden subir otra almohada, por favor?	Would you please bring up another pillow?	feminine noun	almohada	biohack es-en letter-a noun	d5ade941f5db
biohack:es-en:0050	almorzar	to eat lunch	Trato de almorzar con la familia si puedo.	I try to eat lunch with my family if I can.	verb	almorzar	biohack es-en letter-a verb	0d90b995f350
biohack:es-en:0051	el almuerzo	m. lunch	En España sirven el almuerzo a eso de las dos.	In Spain they serve lunch at about two o'clock.	masculine noun	almuerzo	biohack es-en letter-a noun	bc0dc0af3625
biohack:es-en:0052	alquilar	to rent	¿Dónde puedo alquilar un coche?	Where can I rent a ear?	verb	alquilar	biohack es-en letter-a verb	c2b79cf45b96
biohack:es-en:0053	alto	tall, high; stop	Hay muchos edificios altos en el centro.	There are many tall buildings downtown.		alto	biohack es-en letter-a	bb98b1723b63
